datetime	vessel:heincke:trimble:longitude (mean) []	vessel:heincke:trimble:latitude (mean) []	vessel:heincke:saab:longitude (mean) []	vessel:heincke:saab:latitude (mean) []	vessel:heincke:phins:longitude (mean) []	vessel:heincke:saab:latitude (mean) []
2025-07-23T13:56:00.000	8.58102	53.53315	8.58102		8.58101	53.53314
2025-07-23T14:06:00.000	8.58102	53.53315	8.58101		8.58101	53.53314
2025-07-23T14:16:00.000	8.58102	53.53315	8.58101		8.58101	53.53315
2025-07-23T14:26:00.000	8.58102	53.53315	8.58101		8.58101	53.53315
2025-07-23T14:36:00.000	8.58102	53.53315	8.58101		8.58101	53.53315
2025-07-23T14:46:00.000	8.58102	53.53314	8.58101		8.58101	53.53315
2025-07-23T14:56:00.000	8.58102	53.53314	8.58101		8.581	53.53314
2025-07-23T15:06:00.000	8.58102	53.53315	8.58101		8.58101	53.53315
2025-07-23T15:16:00.000	8.58102	53.53314	8.581		8.58101	53.53315
2025-07-23T15:26:00.000	8.58102	53.53314	8.581		8.58101	53.53315
2025-07-23T15:36:00.000	8.58102	53.53314	8.581		8.581	53.53315
2025-07-23T15:46:00.000	8.58102	53.53314	8.581		8.581	53.53315
2025-07-23T15:56:00.000	8.58102	53.53314	8.581		8.58101	53.53314
2025-07-23T16:06:00.000	8.58102	53.53314	8.58102		8.581	53.53315
2025-07-23T16:16:00.000	8.58102	53.53314	8.58101		8.58101	53.53315
2025-07-23T16:26:00.000	8.58102	53.53314	8.58101		8.58101	53.53315
2025-07-23T16:36:00.000	8.58102	53.53314	8.58101		8.58101	53.53315
2025-07-23T16:46:00.000	8.58102	53.53314	8.58101		8.581	53.53314
2025-07-23T16:56:00.000	8.58102	53.53314	8.58101		8.58101	53.53315
2025-07-23T17:06:00.000	8.58102	53.53314	8.58101		8.58101	53.53315
2025-07-23T17:16:00.000	8.58102	53.53314	8.58101		8.58101	53.53315
2025-07-23T17:26:00.000	8.58102	53.53314	8.58101		8.58101	53.53315
2025-07-23T17:36:00.000	8.58102	53.53315	8.58101		8.581	53.53315
2025-07-23T17:46:00.000	8.58102	53.53315	8.58101		8.58101	53.53315
2025-07-23T17:56:00.000	8.58102	53.53315	8.58101		8.58101	53.53315
